Time,RunningTime,Instance,Best Solution,Best Fitness,Config Name
2024-04-04 14:57:51.061881,0.2,kqbf020,[1 1 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0],134.0,LHS=False_SUS=False_UNIF_CROSS=False_DM=False_DRATE=0.55_PSIZE=150
2024-04-04 14:58:16.049817,30.0,kqbf020,[1 1 1 0 1 0 0 0 0 1 0 1 1 0 0 0 0 1 0 0],160.0,LHS=False_SUS=False_UNIF_CROSS=False_DM=False_DRATE=0.55_PSIZE=150
2024-04-04 14:58:20.401862,30.0,kqbf020,[1 1 1 0 1 0 0 0 0 1 0 1 1 0 0 0 0 1 0 0],160.0,LHS=False_SUS=False_UNIF_CROSS=False_DM=True_DRATE=0.55_PSIZE=300
2024-04-04 14:58:24.027104,30.0,kqbf020,[1 0 1 0 1 0 0 0 0 0 0 1 1 0 0 1 0 1 0 0],137.0,LHS=False_SUS=False_UNIF_CROSS=False_DM=False_DRATE=0.7_PSIZE=150
2024-04-04 14:58:26.945091,30.0,kqbf020,[1 1 1 0 1 0 0 0 0 1 0 1 1 0 0 0 0 1 0 0],160.0,LHS=True_SUS=False_UNIF_CROSS=False_DM=True_DRATE=0.55_PSIZE=150
2024-04-04 14:58:28.665104,30.0,kqbf020,[1 1 1 0 1 0 0 0 0 1 0 1 1 0 0 0 0 1 0 0],160.0,LHS=False_SUS=False_UNIF_CROSS=True_DM=True_DRATE=0.55_PSIZE=150
2024-04-04 15:40:21.732215,30.0,kqbf040,"[1 1 1 0 0 0 1 1 0 1 0 0 1 0 1 1 1 0 0 1 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0
 0 0 0]",355.0,LHS=False_SUS=False_UNIF_CROSS=False_DM=False_DRATE=0.55_PSIZE=150
2024-04-04 15:40:39.041852,30.0,kqbf040,"[1 1 1 0 0 0 1 0 0 1 0 0 1 1 0 0 1 1 0 1 1 0 1 0 1 0 0 0 0 0 0 0 1 0 1 0 0
 1 0 0]",454.0,LHS=False_SUS=False_UNIF_CROSS=False_DM=True_DRATE=0.55_PSIZE=300
2024-04-04 15:40:44.433565,30.0,kqbf040,"[[1 1 0 1 0 0 0 0 1 1 0 1 0 0 0 0 1 1 0 0 1 1 1 1 0 0 1 0 0 0 0 0 1 1 1 0
  0 1 0 0]]",89.0,LHS=False_SUS=False_UNIF_CROSS=False_DM=False_DRATE=0.7_PSIZE=150
2024-04-04 15:40:49.651255,30.0,kqbf040,"[0 0 1 0 0 0 1 0 1 1 1 1 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 1 0 1 0 1 1 1 0 0 1
 0 0 0]",341.0,LHS=True_SUS=False_UNIF_CROSS=False_DM=True_DRATE=0.55_PSIZE=150
2024-04-04 15:41:00.435026,30.0,kqbf040,"[0 1 1 0 0 1 1 1 0 1 0 0 1 0 0 0 1 1 1 1 1 0 0 0 1 0 1 0 1 0 0 0 1 0 0 0 1
 0 0 0]",427.0,LHS=False_SUS=False_UNIF_CROSS=True_DM=True_DRATE=0.55_PSIZE=150
2024-04-04 16:48:32.639298,30.0,kqbf060,"[1 1 0 1 0 0 0 0 0 1 1 1 0 1 1 0 0 1 1 1 0 0 1 0 1 0 0 0 0 1 0 0 1 0 0 0 0
 0 0 0 1 0 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0]",499.0,LHS=False_SUS=False_UNIF_CROSS=False_DM=False_DRATE=0.55_PSIZE=150
2024-04-04 16:48:38.602156,30.0,kqbf060,"[0 1 1 0 0 0 1 0 0 0 0 0 1 1 0 0 1 0 1 0 0 1 0 1 1 0 1 1 0 0 0 0 0 0 0 1 1
 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 1 1 0 0 1 0 0 0]",691.0,LHS=False_SUS=False_UNIF_CROSS=False_DM=True_DRATE=0.55_PSIZE=300
2024-04-04 16:48:46.209145,30.0,kqbf060,"[[1 0 1 1 1 0 1 1 0 1 0 1 1 1 0 0 0 1 0 0 0 0 0 0 1 1 1 0 0 1 0 0 0 0 0 1
  1 1 0 0 0 1 0 0 0 0 0 0 1 1 0 1 0 1 0 0 0 1 0 0]]",310.0,LHS=False_SUS=False_UNIF_CROSS=False_DM=False_DRATE=0.7_PSIZE=150
2024-04-04 16:48:51.580044,30.0,kqbf060,"[0 1 1 0 1 0 1 0 0 0 0 0 1 0 0 0 1 1 1 0 1 1 0 1 1 0 1 1 0 1 0 0 0 0 0 1 1
 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 1 0 0 0]",778.0,LHS=True_SUS=False_UNIF_CROSS=False_DM=True_DRATE=0.55_PSIZE=150
2024-04-04 16:48:59.444943,30.0,kqbf060,"[0 0 1 1 0 0 1 0 0 1 0 0 1 0 1 0 1 1 0 1 0 1 0 0 1 0 1 1 0 1 1 0 0 0 0 1 1
 1 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1]",815.0,LHS=False_SUS=False_UNIF_CROSS=True_DM=True_DRATE=0.55_PSIZE=150
